variant,channel,reflow_containment,reflow_hash_match_rate,matched_containment,random_containment,separation
full,char,1.0,0.9778,0.5585,0.0449,0.5136
full,num,1.0,0.9778,0.79,0.0401,0.7499
full,rare,1.0,0.9778,0.7694,0.0232,0.7463
full,word,1.0,0.9778,0.1731,0.0,0.1731
no_boilerplate_strip,char,0.8625,0.0,0.5585,0.0504,0.5081
no_boilerplate_strip,num,0.481,0.0,0.79,0.0458,0.7442
no_boilerplate_strip,rare,0.8468,0.0,0.7694,0.0256,0.7438
no_boilerplate_strip,word,0.8892,0.0,0.1731,0.0,0.1731
no_markup_strip,char,0.8249,0.0,0.5584,0.0646,0.4938
no_markup_strip,num,0.5501,0.0,0.7888,0.0647,0.7241
no_markup_strip,rare,0.8369,0.0,0.7694,0.0501,0.7193
no_markup_strip,word,0.818,0.0,0.1748,0.0052,0.1696
no_punctuation_fold,char,1.0,0.9778,0.5585,0.0629,0.4956
no_punctuation_fold,num,1.0,0.9778,0.79,0.0791,0.7109
no_punctuation_fold,rare,1.0,0.9778,0.7694,0.0618,0.7076
no_punctuation_fold,word,1.0,0.9778,0.1731,0.0018,0.1713
no_whitespace_collapse,char,1.0,0.9778,0.5565,0.0752,0.4813
no_whitespace_collapse,num,1.0,0.9778,0.79,0.0902,0.6998
no_whitespace_collapse,rare,1.0,0.9778,0.7694,0.0887,0.6807
no_whitespace_collapse,word,1.0,0.9778,0.1731,0.0069,0.1662
no_url_strip,char,1.0,0.9778,0.5597,0.0503,0.5094
no_url_strip,num,1.0,0.9778,0.79,0.0405,0.7495
no_url_strip,rare,1.0,0.9778,0.7706,0.0348,0.7359
no_url_strip,word,1.0,0.9778,0.1739,0.0,0.1739
