method,method_name,bin_low,bin_high,n,mean_predicted,observed_frequency
A,statistical,0.0,0.1,0,nan,nan
A,statistical,0.1,0.2,0,nan,nan
A,statistical,0.2,0.30000000000000004,0,nan,nan
A,statistical,0.30000000000000004,0.4,0,nan,nan
A,statistical,0.4,0.5,0,nan,nan
A,statistical,0.5,0.6000000000000001,0,nan,nan
A,statistical,0.6000000000000001,0.7000000000000001,7,0.6484842596454905,1.0
A,statistical,0.7000000000000001,0.8,38,0.7589444795972122,0.9736842105263158
A,statistical,0.8,0.9,311,0.8659485482444506,0.7395498392282959
A,statistical,0.9,1.0,448,0.9333122368215083,0.8616071428571429
B,learned,0.0,0.1,86,0.01908380320769367,0.03488372093023256
B,learned,0.1,0.2,16,0.1485811167595419,0.125
B,learned,0.2,0.30000000000000004,8,0.2483964833439483,0.0
B,learned,0.30000000000000004,0.4,9,0.3379144280986227,0.4444444444444444
B,learned,0.4,0.5,8,0.4509625895309515,0.25
B,learned,0.5,0.6000000000000001,4,0.556161540382124,0.25
B,learned,0.6000000000000001,0.7000000000000001,6,0.6471509892810928,0.16666666666666666
B,learned,0.7000000000000001,0.8,13,0.7679016475330642,0.5384615384615384
B,learned,0.8,0.9,15,0.8594780263026742,0.8
B,learned,0.9,1.0,639,0.9940696168036257,0.9827856025039123
C,dendro,0.0,0.1,144,0.00010000000000000002,0.0
C,dendro,0.1,0.2,0,nan,nan
C,dendro,0.2,0.30000000000000004,0,nan,nan
C,dendro,0.30000000000000004,0.4,0,nan,nan
C,dendro,0.4,0.5,0,nan,nan
C,dendro,0.5,0.6000000000000001,0,nan,nan
C,dendro,0.6000000000000001,0.7000000000000001,0,nan,nan
C,dendro,0.7000000000000001,0.8,0,nan,nan
C,dendro,0.8,0.9,0,nan,nan
C,dendro,0.9,1.0,660,0.9998679116451527,1.0
