condition,method,method_name,n_pos,n_neg,auc,ece,brier,mean_p_pos,mean_p_neg,abstain_rate,abstain_rate_pos,abstain_rate_neg,generation,generator,family,coherence,logloss_gap,burstiness_gap,seen_in_training,seen_family
generation-1,A,statistical,160,24,0.8859,0.1202,0.105,0.921,0.8668,0.0,0.0,0.0,1,gen1,temperature,0.3,0.9958,0.7758,True,True
generation-1,B,learned,160,24,0.9924,0.0174,0.024,0.975,0.1424,0.0,0.0,0.0,1,gen1,temperature,0.3,0.9958,0.7758,True,True
generation-1,C,dendro,160,24,1.0,0.0001,0.0,0.9999,0.0001,0.1304,0.0,1.0,1,gen1,temperature,0.3,0.9958,0.7758,True,True
generation-2,A,statistical,160,24,0.8557,0.1071,0.1074,0.921,0.8774,0.0,0.0,0.0,2,gen2,temperature,0.5,0.7466,0.5366,True,True
generation-2,B,learned,160,24,0.9922,0.0179,0.0213,0.975,0.1273,0.0,0.0,0.0,2,gen2,temperature,0.5,0.7466,0.5366,True,True
generation-2,C,dendro,160,24,1.0,0.0001,0.0,0.9999,0.0001,0.1304,0.0,1.0,2,gen2,temperature,0.5,0.7466,0.5366,True,True
generation-3,A,statistical,160,24,0.7122,0.0541,0.1127,0.921,0.9004,0.0,0.0,0.0,3,gen3,temperature,0.68,0.4908,0.3018,False,True
generation-3,B,learned,160,24,0.993,0.0186,0.0217,0.975,0.1408,0.0,0.0,0.0,3,gen3,temperature,0.68,0.4908,0.3018,False,True
generation-3,C,dendro,160,24,1.0,0.0001,0.0,0.9999,0.0001,0.1304,0.0,1.0,3,gen3,temperature,0.68,0.4908,0.3018,False,True
generation-4,A,statistical,160,24,0.7227,0.0542,0.1129,0.921,0.9015,0.0,0.0,0.0,4,gen4,temperature,0.82,0.3468,0.1366,False,True
generation-4,B,learned,160,24,0.9857,0.031,0.0294,0.975,0.2241,0.0,0.0,0.0,4,gen4,temperature,0.82,0.3468,0.1366,False,True
generation-4,C,dendro,160,24,1.0,0.0001,0.0,0.9999,0.0001,0.1304,0.0,1.0,4,gen4,temperature,0.82,0.3468,0.1366,False,True
generation-5,A,statistical,160,24,0.6292,0.0558,0.1159,0.921,0.9141,0.0,0.0,0.0,5,gen5,temperature,0.93,0.1207,0.0477,False,True
generation-5,B,learned,160,24,0.9826,0.0399,0.0399,0.975,0.3218,0.0,0.0,0.0,5,gen5,temperature,0.93,0.1207,0.0477,False,True
generation-5,C,dendro,160,24,1.0,0.0001,0.0,0.9999,0.0001,0.1304,0.0,1.0,5,gen5,temperature,0.93,0.1207,0.0477,False,True
generation-6,A,statistical,160,24,0.6214,0.0554,0.1151,0.921,0.9106,0.0,0.0,0.0,6,gen6-frontier,temperature,1.0,0.084,0.028,False,True
generation-6,B,learned,160,24,0.9758,0.0388,0.0454,0.975,0.3954,0.0,0.0,0.0,6,gen6-frontier,temperature,1.0,0.084,0.028,False,True
generation-6,C,dendro,160,24,1.0,0.0001,0.0,0.9999,0.0001,0.1304,0.0,1.0,6,gen6-frontier,temperature,1.0,0.084,0.028,False,True
generation-7,A,statistical,160,60,0.4631,0.2001,0.2409,0.921,0.9282,0.0,0.0,0.0,7,unseen-topk8,top-k,0.97,0.1361,0.0608,False,False
generation-7,B,learned,160,60,0.9607,0.1263,0.1223,0.975,0.5069,0.0,0.0,0.0,7,unseen-topk8,top-k,0.97,0.1361,0.0608,False,False
generation-7,C,dendro,160,60,1.0,0.0001,0.0,0.9999,0.0001,0.2727,0.0,1.0,7,unseen-topk8,top-k,0.97,0.1361,0.0608,False,False
generation-8,A,statistical,160,60,0.0051,0.2549,0.2712,0.921,0.9865,0.0,0.0,0.0,8,unseen-topk40,top-k,1.0,1.6758,0.316,False,False
generation-8,B,learned,160,60,0.9617,0.1349,0.1225,0.975,0.5472,0.0,0.0,0.0,8,unseen-topk40,top-k,1.0,1.6758,0.316,False,False
generation-8,C,dendro,160,60,1.0,0.0001,0.0,0.9999,0.0001,0.2727,0.0,1.0,8,unseen-topk40,top-k,1.0,1.6758,0.316,False,False
