condition,method,method_name,n_pos,n_neg,auc,ece,brier,mean_p_pos,mean_p_neg,abstain_rate,abstain_rate_pos,abstain_rate_neg,attack,attack_strength,auc_drop_vs_clean,backdate_flag_rate,false_flag_rate
paraphrase@0.20,A,statistical,45,144,0.2965,0.6783,0.6236,0.8131,0.8951,0.0,0.0,0.0,paraphrase,0.2,0.4413,,
paraphrase@0.20,B,learned,45,144,0.9594,0.1547,0.1258,0.9289,0.2253,0.0,0.0,0.0,paraphrase,0.2,0.0275,,
paraphrase@0.20,C,dendro,45,144,1.0,0.0001,0.0,0.9999,0.0001,0.7672,0.0222,1.0,paraphrase,0.2,0.0,,
paraphrase@0.35,A,statistical,45,144,0.2181,0.6781,0.6238,0.8045,0.8951,0.0,0.0,0.0,paraphrase,0.35,0.5197,,
paraphrase@0.35,B,learned,45,144,0.9583,0.1546,0.1251,0.9284,0.2253,0.0,0.0,0.0,paraphrase,0.35,0.0286,,
paraphrase@0.35,C,dendro,45,144,1.0,0.0001,0.0,0.9999,0.0001,0.7672,0.0222,1.0,paraphrase,0.35,0.0,,
paraphrase@0.55,A,statistical,45,144,0.1406,0.6772,0.6238,0.7979,0.8951,0.0,0.0,0.0,paraphrase,0.55,0.5972,,
paraphrase@0.55,B,learned,45,144,0.9531,0.1553,0.125,0.9314,0.2253,0.0,0.0,0.0,paraphrase,0.55,0.0338,,
paraphrase@0.55,C,dendro,45,144,1.0,0.0001,0.0,0.9999,0.0001,0.7619,0.0,1.0,paraphrase,0.55,0.0,,
paraphrase@0.75,A,statistical,45,144,0.0792,0.677,0.6239,0.7911,0.8951,0.0,0.0,0.0,paraphrase,0.75,0.6586,,
paraphrase@0.75,B,learned,45,144,0.9552,0.156,0.125,0.9341,0.2253,0.0,0.0,0.0,paraphrase,0.75,0.0317,,
paraphrase@0.75,C,dendro,45,144,1.0,0.0001,0.0,0.9999,0.0001,0.7672,0.0222,1.0,paraphrase,0.75,0.0,,
paraphrase@0.95,A,statistical,45,144,0.0386,0.6877,0.6242,0.7829,0.8951,0.0,0.0,0.0,paraphrase,0.95,0.6992,,
paraphrase@0.95,B,learned,45,144,0.9634,0.164,0.1241,0.9484,0.2253,0.0,0.0,0.0,paraphrase,0.95,0.0235,,
paraphrase@0.95,C,dendro,45,144,1.0,0.0001,0.0,0.9999,0.0001,0.7725,0.0444,1.0,paraphrase,0.95,0.0,,
backdate,A,statistical,160,60,0.7352,0.1909,0.2242,0.921,0.8944,0.0,0.0,0.0,backdate,1.0,0.0026,0.0,0.0
backdate,B,learned,160,60,0.9824,0.0789,0.0682,0.975,0.3096,0.0,0.0,0.0,backdate,1.0,0.0045,0.0,0.0
backdate,C,dendro,160,60,1.0,0.0001,0.0,0.9999,0.0001,0.2727,0.0,1.0,backdate,1.0,0.0,1.0,0.0
