method,method_name,coverage,auc,error,n
A,statistical,0.0472636815920398,nan,nan,38
A,statistical,0.09577114427860696,nan,nan,77
A,statistical,0.14303482587064675,0.9523809523809523,0.4782608695652174,115
A,statistical,0.19029850746268656,0.7332214765100671,0.477124183006536,153
A,statistical,0.23756218905472637,0.7900552486187845,0.450261780104712,191
A,statistical,0.2860696517412935,0.7787903893951947,0.45217391304347826,230
A,statistical,0.3333333333333333,0.7280118255728012,0.44776119402985076,268
A,statistical,0.3805970149253731,0.7134320926179509,0.43137254901960786,306
A,statistical,0.4291044776119403,0.724400871459695,0.4289855072463768,345
A,statistical,0.4763681592039801,0.7166666666666667,0.4281984334203655,383
A,statistical,0.5236318407960199,0.6996086105675147,0.42992874109263657,421
A,statistical,0.5708955223880597,0.7096058372197984,0.42701525054466233,459
A,statistical,0.6194029850746269,0.7198053470919324,0.41967871485943775,498
A,statistical,0.6666666666666666,0.7138009049773756,0.40671641791044777,536
A,statistical,0.7139303482587065,0.708494597645541,0.4094076655052265,574
A,statistical,0.7624378109452736,0.7102230733051133,0.39804241435562804,613
A,statistical,0.8097014925373134,0.6908607707072199,0.4055299539170507,651
A,statistical,0.8569651741293532,0.6615991442706244,0.41799709724238027,689
A,statistical,0.904228855721393,0.64039164427662,0.42778541953232463,727
A,statistical,0.9527363184079602,0.6109659699892819,0.43733681462140994,766
A,statistical,1.0,0.5757891414141414,0.4527363184079602,804
B,learned,0.0472636815920398,1.0,0.2894736842105263,38
B,learned,0.09577114427860696,1.0,0.38961038961038963,77
B,learned,0.14303482587064675,1.0,0.40869565217391307,115
B,learned,0.19029850746268656,1.0,0.4117647058823529,153
B,learned,0.23756218905472637,1.0,0.4293193717277487,191
B,learned,0.2860696517412935,1.0,0.4391304347826087,230
B,learned,0.3333333333333333,1.0,0.44402985074626866,268
B,learned,0.3805970149253731,1.0,0.43790849673202614,306
B,learned,0.4291044776119403,1.0,0.43478260869565216,345
B,learned,0.4763681592039801,1.0,0.43342036553524804,383
B,learned,0.5236318407960199,1.0,0.4346793349168646,421
B,learned,0.5708955223880597,1.0,0.42919389978213507,459
B,learned,0.6194029850746269,1.0,0.42570281124497994,498
B,learned,0.6666666666666666,1.0,0.4253731343283582,536
B,learned,0.7139303482587065,0.9998415716096325,0.4163763066202091,574
B,learned,0.7624378109452736,0.9977360337759286,0.40456769983686786,613
B,learned,0.8097014925373134,0.9948717948717949,0.39938556067588327,651
B,learned,0.8569651741293532,0.9928776683087028,0.38461538461538464,689
B,learned,0.904228855721393,0.9899900066622251,0.3700137551581843,727
B,learned,0.9527363184079602,0.9883605356769198,0.34595300261096606,766
B,learned,1.0,0.985848063973064,0.3208955223880597,804
C,dendro,0.0472636815920398,nan,nan,38
C,dendro,0.09577114427860696,nan,nan,77
C,dendro,0.14303482587064675,nan,nan,115
C,dendro,0.19029850746268656,nan,nan,153
C,dendro,0.23756218905472637,nan,nan,191
C,dendro,0.2860696517412935,nan,nan,230
C,dendro,0.3333333333333333,nan,nan,268
C,dendro,0.3805970149253731,nan,nan,306
C,dendro,0.4291044776119403,nan,nan,345
C,dendro,0.4763681592039801,nan,nan,383
C,dendro,0.5236318407960199,nan,nan,421
C,dendro,0.5708955223880597,nan,nan,459
C,dendro,0.6194029850746269,nan,nan,498
C,dendro,0.6666666666666666,nan,nan,536
C,dendro,0.7139303482587065,nan,nan,574
C,dendro,0.7624378109452736,nan,nan,613
C,dendro,0.8097014925373134,nan,nan,651
C,dendro,0.8569651741293532,1.0,0.9579100145137881,689
C,dendro,0.904228855721393,1.0,0.9078404401650619,727
C,dendro,0.9527363184079602,1.0,0.8616187989556136,766
C,dendro,1.0,1.0,0.8208955223880597,804
